Designator,Mid X,Mid Y,Rotation,Layer
D1,135.5725,-64.61125,90.0,bottom
D10,154.6225,-102.71125,90.0,bottom
D11,173.6725,-102.71125,90.0,bottom
D12,135.5725,-121.76125,90.0,bottom
D13,154.6225,-121.76125,90.0,bottom
D14,173.6725,-121.76125,90.0,bottom
D15,192.7225,-131.28625,90.0,bottom
D16,145.0975,-140.81125,90.0,bottom
D17,173.6725,-140.81125,90.0,bottom
D2,154.6225,-64.61125,90.0,bottom
D3,173.6725,-64.61125,90.0,bottom
D4,192.7225,-64.61125,90.0,bottom
D5,135.5725,-83.66125,90.0,bottom
D6,154.6225,-83.66125,90.0,bottom
D7,173.6725,-83.66125,90.0,bottom
D8,192.7225,-93.18625,90.0,bottom
D9,135.5725,-102.71125,90.0,bottom
S1,126.0475,-61.75375,0.0,top
S10,145.0975,-99.85375,0.0,top
S11,164.1475,-99.85375,0.0,top
S12,126.0475,-118.90375,0.0,top
S13,145.0975,-118.90375,0.0,top
S14,164.1475,-118.90375,0.0,top
S15,183.1975,-128.42875,0.0,top
S16,135.5725,-137.95375,0.0,top
S17,164.1475,-137.95375,0.0,top
S2,145.0975,-61.75375,0.0,top
S3,164.1475,-61.75375,0.0,top
S4,183.1975,-61.75375,0.0,top
S5,126.0475,-80.80375,0.0,top
S6,145.0975,-80.80375,0.0,top
S7,164.1475,-80.80375,0.0,top
S8,183.1975,-90.32875,0.0,top
S9,126.0475,-99.85375,0.0,top
U1,178.435,-42.70375,90.0,top
